Trials = 100000   SKIP
Wishes Available,         X,        C0,        C1,        C2,        C3,        C4,        C5,        C6   SKIP
             147,   22.0410,   54.7620,   19.7120,    3.1550,    0.3060,    0.0190,    0.0050,     0.0000
             148,   21.3080,   55.1850,   20.0610,    3.0970,    0.3190,    0.0280,    0.0020,     0.0000
             149,   20.7790,   55.1430,   20.4520,    3.2970,    0.3030,    0.0260,    0.0000,     0.0000
             150,   20.2360,   55.3330,   20.7340,    3.3200,    0.3490,    0.0260,    0.0020,     0.0000
             151,   18.7880,   55.6390,   21.8140,    3.4130,    0.3190,    0.0250,    0.0020,     0.0000
             152,   17.2290,   56.1200,   22.7240,    3.5500,    0.3500,    0.0260,    0.0000,     0.0010
             153,   15.0710,   57.1240,   23.9020,    3.5080,    0.3680,    0.0230,    0.0040,     0.0000
             154,   12.9380,   57.7780,   25.1190,    3.7520,    0.3860,    0.0250,    0.0020,     0.0000
             155,   10.2830,   58.9300,   26.6190,    3.7550,    0.3930,    0.0190,    0.0010,     0.0000
             156,    8.0600,   59.5330,   28.0230,    3.9260,    0.4190,    0.0380,    0.0010,     0.0000
             157,    5.8480,   60.4180,   29.2240,    4.0250,    0.4600,    0.0220,    0.0030,     0.0000
             158,    4.1390,   60.5210,   30.5930,    4.2470,    0.4560,    0.0420,    0.0020,     0.0000
             159,    2.8410,   60.8020,   31.3620,    4.4900,    0.4640,    0.0380,    0.0030,     0.0000
             160,    1.7580,   60.7670,   32.3990,    4.5870,    0.4650,    0.0230,    0.0010,     0.0000
             161,    1.0950,   60.4870,   33.1010,    4.7590,    0.5180,    0.0380,    0.0020,     0.0000
             162,    0.6430,   60.2110,   33.6910,    4.8290,    0.5800,    0.0430,    0.0030,     0.0000
             163,    0.3480,   59.8550,   34.0640,    5.1710,    0.5190,    0.0400,    0.0030,     0.0000
             164,    0.1800,   59.4080,   34.6040,    5.1920,    0.5690,    0.0460,    0.0010,     0.0000
             165,    0.0980,   59.0430,   34.6650,    5.5270,    0.6090,    0.0550,    0.0030,     0.0000
             166,    0.0490,   58.4170,   35.1540,    5.7070,    0.6180,    0.0520,    0.0030,     0.0000
             167,    0.0220,   57.9610,   35.5780,    5.8130,    0.5720,    0.0510,    0.0030,     0.0000
             168,    0.0120,   57.6250,   35.7120,    5.9230,    0.6630,    0.0610,    0.0040,     0.0000
             169,    0.0040,   56.9090,   36.1430,    6.2180,    0.6600,    0.0630,    0.0030,     0.0000
             170,    0.0010,   56.3490,   36.4710,    6.4010,    0.7120,    0.0640,    0.0020,     0.0000
             171,    0.0000,   55.8070,   36.4790,    6.8690,    0.7850,    0.0560,    0.0040,     0.0000
             172,    0.0000,   55.0340,   37.2470,    6.8890,    0.7720,    0.0540,    0.0040,     0.0000
             173,    0.0000,   54.8390,   37.2010,    7.0940,    0.7820,    0.0780,    0.0060,     0.0000
             174,    0.0000,   54.3150,   37.5860,    7.1860,    0.8460,    0.0620,    0.0040,     0.0010
             175,    0.0000,   53.8770,   37.8980,    7.2910,    0.8480,    0.0800,    0.0060,     0.0000
             176,    0.0000,   53.2620,   38.0080,    7.7960,    0.8700,    0.0580,    0.0060,     0.0000
             177,    0.0000,   53.2460,   38.1650,    7.6290,    0.8710,    0.0820,    0.0070,     0.0000
             178,    0.0000,   52.2660,   38.5950,    8.1450,    0.8970,    0.0840,    0.0130,     0.0000
             179,    0.0000,   51.9000,   38.8910,    8.1530,    0.9660,    0.0860,    0.0030,     0.0010
             180,    0.0000,   51.4350,   39.2720,    8.2560,    0.9470,    0.0830,    0.0060,     0.0010
             181,    0.0000,   50.9640,   39.2530,    8.6550,    1.0260,    0.0980,    0.0030,     0.0010
             182,    0.0000,   50.4780,   39.7280,    8.6320,    1.0560,    0.0990,    0.0070,     0.0000
             183,    0.0000,   50.1730,   39.6670,    8.9560,    1.0830,    0.1060,    0.0130,     0.0020
             184,    0.0000,   49.5560,   39.9450,    9.2880,    1.1110,    0.0930,    0.0060,     0.0010
             185,    0.0000,   48.9460,   40.2860,    9.5540,    1.1090,    0.0980,    0.0070,     0.0000
             186,    0.0000,   48.4650,   40.3880,    9.8390,    1.1680,    0.1280,    0.0120,     0.0000
             187,    0.0000,   48.0510,   40.5990,    9.9740,    1.2600,    0.1120,    0.0040,     0.0000
             188,    0.0000,   47.5390,   40.9630,   10.0130,    1.3560,    0.1200,    0.0080,     0.0010
             189,    0.0000,   47.0230,   41.2730,   10.1850,    1.3860,    0.1280,    0.0040,     0.0010
             190,    0.0000,   46.4660,   41.4650,   10.4790,    1.4250,    0.1520,    0.0130,     0.0000
             191,    0.0000,   46.0710,   41.5550,   10.7750,    1.4180,    0.1690,    0.0110,     0.0010
             192,    0.0000,   45.6650,   41.6480,   11.0860,    1.4450,    0.1390,    0.0160,     0.0010
             193,    0.0000,   45.3860,   41.8930,   11.0140,    1.5620,    0.1330,    0.0120,     0.0000
             194,    0.0000,   44.9970,   41.9720,   11.2830,    1.5920,    0.1470,    0.0090,     0.0000
             195,    0.0000,   44.5220,   42.1140,   11.5030,    1.6990,    0.1530,    0.0090,     0.0000
             196,    0.0000,   43.9190,   42.3210,   11.8550,    1.7330,    0.1590,    0.0130,     0.0000
             197,    0.0000,   43.4110,   42.7160,   11.9510,    1.7350,    0.1670,    0.0180,     0.0020
             198,    0.0000,   43.2550,   42.5130,   12.2580,    1.7790,    0.1790,    0.0140,     0.0020
             199,    0.0000,   42.3960,   43.0460,   12.4960,    1.8610,    0.1900,    0.0100,     0.0010
             200,    0.0000,   42.2730,   42.8300,   12.7620,    1.9170,    0.1980,    0.0170,     0.0030
             201,    0.0000,   41.8520,   42.9790,   12.9310,    1.9840,    0.2340,    0.0180,     0.0020
             202,    0.0000,   41.1230,   43.4790,   13.2060,    1.9890,    0.1940,    0.0090,     0.0000
             203,    0.0000,   40.8940,   43.4260,   13.3720,    2.0590,    0.2310,    0.0170,     0.0010
             204,    0.0000,   40.5780,   43.4940,   13.5600,    2.1390,    0.2070,    0.0210,     0.0010
             205,    0.0000,   40.0320,   43.9450,   13.6770,    2.0770,    0.2500,    0.0180,     0.0010
             206,    0.0000,   39.6230,   43.7890,   14.0340,    2.2810,    0.2570,    0.0160,     0.0000
             207,    0.0000,   39.1660,   44.0900,   14.1540,    2.2820,    0.2840,    0.0230,     0.0010
             208,    0.0000,   38.7460,   44.2470,   14.2970,    2.4210,    0.2610,    0.0250,     0.0030
             209,    0.0000,   38.5580,   44.0730,   14.6480,    2.4350,    0.2610,    0.0200,     0.0050
             210,    0.0000,   37.9980,   44.2690,   15.0090,    2.4390,    0.2590,    0.0230,     0.0030
             211,    0.0000,   37.6300,   44.3580,   15.1780,    2.5310,    0.2810,    0.0200,     0.0020
             212,    0.0000,   37.4870,   44.2780,   15.3300,    2.5800,    0.3000,    0.0240,     0.0010
             213,    0.0000,   36.8500,   44.4730,   15.6300,    2.7350,    0.2770,    0.0300,     0.0050
             214,    0.0000,   36.2870,   44.7290,   15.8740,    2.7920,    0.2960,    0.0210,     0.0010
             215,    0.0000,   36.3140,   44.6520,   15.9510,    2.7320,    0.3300,    0.0210,     0.0000
             216,    0.0000,   35.7660,   44.7860,   16.1830,    2.8860,    0.3360,    0.0390,     0.0040
             217,    0.0000,   35.2350,   45.0170,   16.3710,    2.9680,    0.3750,    0.0300,     0.0040
             218,    0.0000,   34.8600,   44.8720,   16.7820,    3.0820,    0.3560,    0.0460,     0.0020
             219,    0.0000,   34.5110,   44.9670,   16.8870,    3.1760,    0.4170,    0.0400,     0.0020
             220,    0.0000,   34.1820,   45.0760,   17.1360,    3.1660,    0.4030,    0.0340,     0.0030
             221,    0.0000,   33.7090,   45.1650,   17.3040,    3.3640,    0.4190,    0.0340,     0.0050
             222,    0.0000,   33.2980,   45.0270,   17.9210,    3.2970,    0.4170,    0.0390,     0.0010
             223,    0.0000,   32.8360,   45.7440,   17.5610,    3.4180,    0.4000,    0.0400,     0.0010
             224,    0.0000,   32.6920,   45.2510,   18.1330,    3.4590,    0.4300,    0.0290,     0.0060
             225,    0.0000,   32.0740,   45.4810,   18.3850,    3.5650,    0.4490,    0.0380,     0.0080
             226,    0.0000,   31.3900,   45.8910,   18.5840,    3.6200,    0.4640,    0.0430,     0.0080
             227,    0.0000,   31.0760,   45.7630,   18.8760,    3.7310,    0.5010,    0.0440,     0.0090
             228,    0.0000,   30.0760,   46.4700,   19.0540,    3.8170,    0.5340,    0.0460,     0.0030
             229,    0.0000,   28.8520,   47.1350,   19.5240,    3.9220,    0.5090,    0.0530,     0.0050
             230,    0.0000,   27.5300,   47.6540,   20.1130,    4.1270,    0.5160,    0.0540,     0.0060
             231,    0.0000,   26.0430,   48.7190,   20.4770,    4.1380,    0.5670,    0.0490,     0.0070
             232,    0.0000,   24.7750,   49.3850,   21.0690,    4.1560,    0.5690,    0.0420,     0.0040
             233,    0.0000,   23.4650,   49.7670,   21.7930,    4.3080,    0.6110,    0.0490,     0.0070
             234,    0.0000,   21.7660,   51.0910,   22.0540,    4.3950,    0.6250,    0.0660,     0.0030
             235,    0.0000,   20.5570,   51.3780,   22.7900,    4.5370,    0.6650,    0.0670,     0.0060
             236,    0.0000,   19.3800,   52.1290,   23.1900,    4.6060,    0.6090,    0.0820,     0.0040
             237,    0.0000,   18.2060,   52.5050,   23.6850,    4.8250,    0.7270,    0.0480,     0.0040
             238,    0.0000,   17.2040,   52.7370,   24.3940,    4.8330,    0.7400,    0.0890,     0.0030
             239,    0.0000,   16.6800,   52.8250,   24.4740,    5.2030,    0.7200,    0.0890,     0.0090
             240,    0.0000,   15.9700,   53.1010,   25.0130,    5.0970,    0.7290,    0.0860,     0.0040
             241,    0.0000,   15.5190,   52.9220,   25.3370,    5.3640,    0.7800,    0.0680,     0.0100
             242,    0.0000,   15.1800,   52.4020,   26.2610,    5.2860,    0.7920,    0.0710,     0.0080
             243,    0.0000,   14.9530,   52.4910,   26.1590,    5.5900,    0.7310,    0.0660,     0.0100
             244,    0.0000,   14.3820,   52.4530,   26.4890,    5.7810,    0.8110,    0.0780,     0.0060
             245,    0.0000,   14.1210,   52.3260,   26.8290,    5.8320,    0.7960,    0.0880,     0.0080
             246,    0.0000,   13.9260,   51.6310,   27.4360,    6.0530,    0.8460,    0.1010,     0.0070
             247,    0.0000,   13.6450,   51.7910,   27.3480,    6.2340,    0.8770,    0.0880,     0.0170
             248,    0.0000,   13.2500,   51.3090,   27.9660,    6.4510,    0.9100,    0.1030,     0.0110
             249,    0.0000,   13.1920,   51.5050,   27.9100,    6.3180,    0.9500,    0.1140,     0.0110
             250,    0.0000,   13.0430,   50.7840,   28.4560,    6.6060,    0.9830,    0.1180,     0.0100
             251,    0.0000,   12.9220,   50.8250,   28.4540,    6.6610,    1.0150,    0.1130,     0.0100
             252,    0.0000,   12.5250,   50.4380,   28.8630,    6.9360,    1.0950,    0.1300,     0.0130
             253,    0.0000,   12.4530,   49.9770,   29.0900,    7.2620,    1.0740,    0.1330,     0.0110
             254,    0.0000,   12.1320,   50.0070,   29.4700,    7.1570,    1.0900,    0.1250,     0.0190
             255,    0.0000,   11.9100,   49.4750,   29.8120,    7.4700,    1.1910,    0.1320,     0.0100
             256,    0.0000,   11.6250,   49.5760,   29.9920,    7.5520,    1.1070,    0.1420,     0.0060
             257,    0.0000,   11.5270,   48.9630,   30.3880,    7.7580,    1.2160,    0.1270,     0.0210
             258,    0.0000,   11.3180,   48.7290,   30.6710,    7.8490,    1.2590,    0.1570,     0.0170
             259,    0.0000,   11.0910,   48.5410,   30.8910,    8.0800,    1.2450,    0.1390,     0.0130
             260,    0.0000,   11.1530,   48.2490,   31.0850,    8.0390,    1.3100,    0.1450,     0.0190
             261,    0.0000,   10.7840,   48.2450,   31.0680,    8.4010,    1.3160,    0.1620,     0.0240
             262,    0.0000,   10.7620,   47.5750,   31.5480,    8.5680,    1.3760,    0.1540,     0.0170
             263,    0.0000,   10.3560,   47.5150,   31.8000,    8.7500,    1.4150,    0.1480,     0.0160
             264,    0.0000,   10.1890,   47.3520,   31.9080,    8.9450,    1.4020,    0.1860,     0.0180
             265,    0.0000,   10.0080,   46.8260,   32.2550,    9.2000,    1.5270,    0.1650,     0.0190
             266,    0.0000,    9.9200,   46.6180,   32.5140,    9.2350,    1.5020,    0.1940,     0.0170
             267,    0.0000,    9.6920,   46.2120,   32.8910,    9.3650,    1.6080,    0.2050,     0.0270
             268,    0.0000,    9.4960,   45.9440,   33.0290,    9.6110,    1.6840,    0.2120,     0.0240
             269,    0.0000,    9.4360,   45.6740,   33.3000,    9.7190,    1.6390,    0.2030,     0.0290
